X;Y;Z;ARB
49732883.46;2049345.169;1802.569;-0.892892065
49740260.71;2051069.569;2014.366;13.76511047
49733205.46;2057405.449;2127.088;-5.594177905
49733091.52;2056492.891;1954.45;-3.481334184
49733001.53;2056965.559;1981.408;-4.603388362
49732903.47;2057445.212;1990.299;-4.911683147
49732884.87;2057954.18;2023.524;-5.126555259
49733015.57;2056311.956;1952.983;-2.281135865
49732834.9;2056687.861;1964.5;-3.068999786
49732722.86;2057148.52;1996.752;-3.777015191
49732725.3;2057656.494;2007.804;-4.560066397
49732616.52;2056339.144;2194.241;-1.357334735
49732251.1;2056810.842;2100.813;-1.018994641
49734303;2054572.193;2411.321;-3.498787537
49734011.85;2055090.108;2296.192;-3.335661608
49734158.28;2055595.622;2251.795;-4.223357399
49734416.01;2056064.897;2205.731;-3.039433611
49733999.03;2056329.517;2208.479;-1.638321948
49733510.4;2056550.593;2133.384;-4.584051288
49733441.5;2057048.388;2129.391;-4.311180885
49732827.55;2058229.955;2010.975;-4.70929541
49731248.43;2050471.747;2111.11;0.996918822
49732006.47;2051236.834;2137.603;2.514600417
49732973.32;2051464.868;2235.471;3.768753514
49733859.66;2051002.088;2317.256;1.08943406
49732526.47;2052295.011;2380.482;4.204127359
49732243.64;2053211.359;2427.719;3.703261415
49732063.66;2054370.089;2406.571;3.397848993
49732230.82;2055571.526;2325.947;1.229330738
49734317.4;2050170.414;2098.681;1.098484115
49735398.75;2049562.198;2116.528;-0.94851813
49734691.33;2049322.013;1788.618;-0.419825679
49733186.2;2050226.421;1753.793;-1.242771534
49732321.88;2050289.612;1816.68;-1.102155885
49730347.03;2049937.605;2047.998;-0.929096421
49731998.37;2057771.731;2334.807;-1.407375464
49731053.77;2057981.393;2634.844;-0.544910889
49731606.7;2058581.932;2193.644;-3.075377706
49731154.25;2057283.326;2646.374;1.504264759
49731303.75;2055593.762;2885.666;2.149284462
49731308.91;2054631.418;2949.058;3.524172916
49731369.29;2053546.074;2672.678;3.991862694
49731367.5;2052678.497;3007.929;1.206728872
49731098.75;2051639.218;2655.509;2.174348587
49732059.78;2056312.42;2402.232;-0.04729249
49731805.39;2052110.459;2660.153;2.814917209
49735495.71;2058312.305;2927.404;-0.513923322
49734944.97;2057477.152;2737.342;-1.315275755
49737941.9;2058269.897;2366.585;-0.44539994
49737288.61;2057646.187;2333.425;-0.083340418
49737230.93;2057108.424;2353.172;1.976027874
49736366.57;2058089.337;2603.956;-0.117227713
49735742.96;2057391.357;2505.518;-0.387612344
49733492.53;2058664.55;2403.849;-3.323747566
49734522.76;2057196.507;2545.61;-1.680919352
49733939;2057352.923;2369.157;-3.472167159
49736804.04;2054489.85;2442.736;2.01092845
49736881.37;2053996.613;2542.674;1.196409401
49734476.46;2051704.983;1649.988;2.123080272
49733798.98;2052430.164;1726.835;1.910229943
49733478.17;2053402.827;1759.402;1.806690452
49733110.09;2054181.265;1903.289;-0.248691742
49732829.66;2055198.699;1931.298;-0.185358585
49734926.5;2054321.067;2741.795;-7.570338911
49735544.74;2054446.675;2739.027;-8.905931211
