X;Y;Z;AMCT
49732886.29;2049348.167;1801.5;38.0236936
49733090.1;2056498.079;1943.8;-15.47185738
49733000.19;2056964.627;1985.3;8.130486033
49732904.35;2057449.775;1990.2;-4.627893786
49732885.7;2057951.809;2011.5;2.677856484
49733023.45;2056314.276;1945.3;-32.31004446
49732829.91;2056687.717;1946.7;14.86394679
49732719.65;2057144.713;1987.1;4.80707255
49732728.13;2057658.602;2009.1;-13.99942813
49732612.77;2056338.857;2188.3;-17.01569528
49732214.6;2056791.388;2010.2;1.35396942
49734303.09;2054574.02;2402.8;-375.3782309
49734010.11;2055091.767;2282.1;-299.6337248
49734154.04;2055593.927;2242.2;9.868341012
49734419.74;2056065.163;2195;4.877379696
49734001.41;2056329.3;2214.5;5.542983302
49733509.36;2056552.101;2131.9;-21.4418812
49733441.66;2057054.295;2116.4;32.44289256
49732833.24;2058229.677;1998.3;16.83996261
49731252.11;2050477.564;2102.6;55.38620293
49732008.28;2051240.376;2144.4;48.01842493
49732965.99;2051458.974;2237.1;52.7504614
49733852.77;2050998.236;2304.3;66.3362357
49732530.08;2052293.595;2372.7;86.32956337
49732243.4;2053210.121;2421.8;-3.459201612
49732064.31;2054370.927;2409;-45.1236874
49732227.55;2055573.401;2328.7;-53.7565318
49734316.71;2050171.837;2092.7;65.10631386
49735398.6;2049562.416;2109.3;3.51519125
49734696.67;2049324.485;1780.4;38.2912208
49733185.5;2050224.066;1746.5;67.70305961
49732321.94;2050289.701;1799.7;47.7907581
49730348.48;2049936.863;2045.4;107.227854
49732000.23;2057776.254;2334.5;-11.81466742
49731055.96;2057978.023;2624.9;39.88562513
49731606.7;2058584.332;2197.1;19.41165266
49731157.75;2057282.611;2638.9;59.46845861
49731302.85;2055592.611;2880.2;-90.70288189
49731311.53;2054629.104;2940.5;-46.68499174
49731369.77;2053544.777;2667.8;-4.68193554
49731366.9;2052677.414;2992.9;-9.689992551
49731103.52;2051636.836;2654.6;12.92429598
49732058.07;2056311.165;2395.1;-14.46564285
49731811.34;2052108.946;2660.5;24.51264553
49735498.24;2058312.338;2915.4;-5.50334379
49734947.68;2057476.876;2734.3;48.05639327
49737941.82;2058271.947;2362.3;35.92117807
49737289.42;2057645.27;2326.7;34.29190537
49737235.21;2057116.505;2360;11.50623408
49736380.69;2058084.287;2584.7;9.81251604
49735745.04;2057392.424;2514.1;15.90325408
49733492.71;2058665.874;2396.6;-69.55986164
49734521.68;2057197.378;2538.8;-8.773027859
49733937.97;2057352.468;2365.8;-21.93665464
49736805.05;2054492.435;2442.4;-245.4365647
49736882.13;2053997.525;2533;-369.9940508
49734479.97;2051705.96;1646.3;138.5552335
49733790.47;2052418.195;1729.6;39.6586172
49733463.46;2053393.124;1792.8;-18.37091006
49733112.1;2054181.793;1906.8;-176.6848258
49732827.53;2055196.184;1921.8;-127.3412209
49734924.68;2054319.953;2719.6;-921.4014733
49735541.53;2054446.888;2733.6;-803.7586694
49737301.21;2054233.379;2745.2;-190.4440296
49737787.73;2054116.353;2753;-133.3522985
49737374.07;2053701.106;2672.6;-130.19011
49737036.51;2053274.665;2584.7;20.05736487
49736819.19;2052860.773;2424.6;120.023872
49736894.84;2051368.034;2081.9;72.37770901
49737125.43;2050906.03;2046.2;39.18145016
49737605.26;2050563.105;2009.2;36.36342993
49738068.39;2050551.336;1914.3;36.22301178
49735747.92;2053613.814;2413.6;238.6274953
49735456.2;2053226.042;2432.5;1079.663736
49735637.54;2052741.627;2377.6;722.6624519
49734995.79;2056141.682;2313.2;-318.5297686
49738683.43;2050630.54;1887.6;33.50940025
49739130.5;2050352.094;1903.4;9.244109253
49735996.65;2054059.452;2537.1;-642.0411044
49734292.76;2053487.508;2368;283.4635868
49734346.28;2054070.252;2379.9;-643.9146493
49734623.6;2054975.517;2406.9;456.070584
49735105.06;2055108.198;2452.6;878.7059393
49735474.94;2054822.334;2505.5;-70.44081248
49736012.6;2054800.234;2523.4;-396.0644475
49736734.56;2051812.783;2028;105.5593293
49736503.11;2052248.142;2042.5;190.3345177
49736007.11;2052049.581;2099.4;246.4637487
49735375.74;2051897.908;2170.2;246.1396859
49735219.02;2052409.339;2225.2;522.6174599
49735086.79;2052874.244;2234.4;1036.495282
49734477.8;2053117.092;2309.2;482.4167122
49736172.54;2050587.62;1849.2;-352.1221141
49735690.87;2050909.108;1942.5;-211.2501459
49735346.77;2051315.198;1967.9;117.2288488
49736052.97;2051060.992;1937.8;8.553471232
49735844.44;2051514.527;2014.2;155.0238919
49736417.73;2057262.493;2287.9;15.85986027
49735964.83;2057032.291;2297.1;55.05765617
49735626.35;2056563.948;2265.9;96.35218952
49735057.57;2056637.694;2358.7;97.75823467
49734544.74;2056478.69;2405.1;42.20820729
49736621.92;2055483.568;2358.1;-178.6251034
49736706.73;2054975.139;2391.8;-220.4935088
49736368.99;2055827.436;2326.3;-54.59840276
49736092.97;2056336.048;2308.2;44.8164171
49739393.97;2050657.467;1988.9;7.708069506
49740605.13;2049409.865;2125.8;-15.40382409
49740899.3;2049772.981;2116;-15.91990421
49740550.88;2050187.34;2073.9;-19.15106422
49740664.95;2050633.3;2074.4;8.55690333
49741008.06;2050961.314;2010.5;4.782623135
49740906.3;2051456.836;1948.6;-34.20987416
49731857.95;2049296.006;1822.4;81.76240201
49733665.94;2048772.11;1790.5;98.77624499
