Este_m,Norte_m,Altitud,Residual_U
4737595.34,2050663.77,1981.77,0.438826739
4734388.58,2053526.74,2327.72,0.624503178
4732011.76,2051264.38,2106.24,0.665922333
4736146.66,2054388.39,2487.89,-5.749468875
4735830.02,2054243.66,2487.40,-7.520756346
4735739.21,2053763.02,2398.39,-5.773949537
4734916.42,2054476.44,2645.75,-12.383484300
4734431.57,2054767.57,2370.49,-3.032362208
4734374.09,2054433.56,2375.95,-1.162169955
4734164.65,2054298.89,2381.34,1.965459489
4734435.05,2053356.33,2314.71,0.817680386
4734953.27,2052748.03,2214.13,1.695700756
4735019.08,2052589.54,2220.15,1.691220276
4735512.65,2052232.78,2277.81,4.475535174
4735970.12,2052644.43,2246.26,3.768472517
4736406.42,2052884.14,2302.15,3.143308830
4733759.13,2055302.50,2202.41,-4.273913825
4733677.59,2055652.69,2181.54,-6.388462622
4734279.00,2055818.17,2211.35,-3.009836385
4734213.49,2056290.97,2155.07,-1.275680715
4733708.52,2056292.32,2145.01,-3.543742460
4736183.53,2056707.28,2286.13,-1.043009839
4737628.53,2053278.78,2441.73,0.344238058
4737518.18,2053508.33,2514.43,1.872397923
4737887.37,2053706.87,2550.87,3.860854930
4737478.80,2054244.45,2789.11,1.975651299
4736947.80,2054080.74,2498.57,1.555756856
4736034.72,2051310.62,1957.48,-1.160699453
4735873.42,2050585.71,1788.98,-1.106756942
4738488.12,2050399.07,1851.07,-4.186883252
4738841.46,2050854.40,1827.25,-5.011796075
4740268.44,2051058.05,1974.05,-1.545331164
4740668.47,2051280.03,1939.79,-1.661876038
4733193.49,2057739.26,2103.28,-4.881357975
4732673.42,2058109.99,1983.26,-6.130989314
4731952.51,2057164.77,2355.35,-2.550188060
4732115.53,2054729.36,2328.08,0.538008395
4732358.81,2054513.47,2237.79,0.363833789
4731790.67,2054670.80,2619.30,3.556688814
4732302.27,2054196.70,2236.89,1.658779998
4732096.78,2053827.90,2330.99,2.257356768
4732325.95,2053491.19,2360.71,2.479225454
4732667.02,2053068.69,2257.39,3.169571653
4731477.88,2051377.53,2458.79,5.253259580
4731622.85,2050831.81,2224.84,2.870494833
4732711.23,2051020.31,2127.49,0.389948639
4733704.32,2051886.66,1956.58,2.933803828
4733693.21,2049842.71,1749.19,-1.190074833
4733789.02,2050517.80,2059.00,0.159702740
4734704.19,2049993.87,2077.42,0.086787768
4735593.79,2049834.07,1887.92,-2.037193449
4734930.07,2050628.87,1663.82,-1.545192353
4734738.05,2050933.73,1664.83,-1.438721371
4732883.46,2049345.17,1802.57,-0.995147773
4733205.46,2057405.45,2127.09,-5.546377786
4733091.52,2056492.89,1954.45,-3.238915494
4733001.53,2056965.56,1981.41,-4.739075383
4732903.47,2057445.21,1990.30,-4.883493310
4732884.87,2057954.18,2023.52,-5.271771886
4733015.57,2056311.96,1952.98,-2.146268548
4732834.90,2056687.86,1964.50,-2.815657032
4732722.86,2057148.52,1996.75,-3.790082118
4732725.30,2057656.49,2007.80,-4.681341971
4732616.52,2056339.14,2194.24,-1.289615379
4732251.10,2056810.84,2100.81,-1.165373103
4734303.00,2054572.19,2411.32,-1.375079431
4734011.85,2055090.11,2296.19,-2.950661425
4734158.28,2055595.62,2251.80,-4.352085072
4734416.01,2056064.90,2205.73,-2.534001240
4733999.03,2056329.52,2208.48,-1.446788030
4733510.40,2056550.59,2133.38,-4.734285175
4733441.50,2057048.39,2129.39,-4.493902819
4732827.55,2058229.96,2010.98,-5.018041118
4731248.43,2050471.75,2111.11,0.839859387
4732006.47,2051236.83,2137.60,0.607468859
4732973.32,2051464.87,2235.47,3.656999324
4733859.66,2051002.09,2317.26,1.127095128
4732526.47,2052295.01,2380.48,4.032948376
4732243.64,2053211.36,2427.72,3.462719926
4732063.66,2054370.09,2406.57,2.850387278
4732230.82,2055571.53,2325.95,1.175534136
4734317.40,2050170.41,2098.68,0.972604450
4735398.75,2049562.20,2116.53,-0.980520519
4734691.33,2049322.01,1788.62,-0.598254544
4733186.20,2050226.42,1753.79,-1.362787784
4732321.88,2050289.61,1816.68,-1.464079005
4730347.03,2049937.61,2048.00,-1.056564690
4731998.37,2057771.73,2334.81,-1.801630662
4731053.77,2057981.39,2634.84,-0.640130413
4731606.70,2058581.93,2193.64,-3.254302174
4731154.25,2057283.33,2646.37,1.255174393
4731303.75,2055593.76,2885.67,1.872548457
4731308.91,2054631.42,2949.06,3.321220456
4731369.29,2053546.07,2672.68,3.743915753
4731367.50,2052678.50,3007.93,1.123495602
4731098.75,2051639.22,2655.51,1.887052927
4732059.78,2056312.42,2402.23,-0.087590519
4731805.39,2052110.46,2660.15,2.618231420
4735495.70,2058312.30,2927.40,-0.667979321
4734944.97,2057477.15,2737.34,-1.383921056
4737941.90,2058269.90,2366.59,-0.518862527
4737288.61,2057646.19,2333.43,-0.039229207
4737230.93,2057108.42,2353.17,2.352222799
4736366.57,2058089.34,2603.96,-0.154798202
4735742.96,2057391.36,2505.52,-0.474266616
4733492.53,2058664.55,2403.85,-3.500700209
4734522.76,2057196.51,2545.61,-1.716859124
4733939.00,2057352.92,2369.16,-3.459649483
4736804.04,2054489.85,2442.74,2.196322819
4736881.37,2053996.61,2542.67,1.268493193
4734476.46,2051704.98,1649.99,2.031184930
4733798.98,2052430.16,1726.84,1.892014464
4733478.17,2053402.83,1759.40,1.690704317
4733110.09,2054181.26,1903.29,-0.292703310
4732829.66,2055198.70,1931.30,-0.191494760
4734926.50,2054321.07,2741.80,-9.013807833
4735544.74,2054446.68,2739.03,-9.078895298
4737306.61,2054228.62,2746.04,1.653677325
4737759.07,2054119.67,2743.04,3.250980641
4737370.23,2053706.81,2666.08,3.655868927
4737041.31,2053274.72,2572.21,0.644419109
4736823.41,2052857.42,2418.70,1.569884102
4736892.00,2051368.32,2070.91,2.214712066
4737122.25,2050902.70,2046.45,1.594850520
4737596.82,2050550.84,2020.34,0.634349353
4738065.43,2050535.18,1929.97,-0.065920944
4735995.14,2054055.32,2535.13,-6.191837263
4734295.39,2053488.41,2380.49,1.108736319
4734342.08,2054074.61,2390.13,-1.885338616
4734621.80,2054975.72,2417.92,-4.307028876
4735104.04,2055107.94,2454.09,-5.820309695
4735482.15,2054814.80,2512.75,-7.258136036
4736012.93,2054799.15,2522.93,-6.397935010
4736730.73,2051808.04,2031.56,2.118442654
4736502.39,2052249.05,2050.35,3.087599440
4736001.54,2052046.85,2109.39,2.958427705
4735370.51,2051900.03,2182.30,3.353969826
4735218.01,2052406.20,2242.92,3.505812862
4735080.12,2052867.92,2256.03,3.066719568
4734477.96,2053115.72,2310.67,1.381268797
4736167.60,2050592.11,1864.10,-2.391531347
4735689.76,2050907.24,1953.49,-3.140468499
4735344.72,2051313.90,1980.15,-0.601737606
4736046.44,2051059.85,1950.49,-3.157929286
4735846.34,2051518.19,2030.95,-0.147507056
4736415.27,2057257.36,2310.15,-1.105962002
4735967.17,2057033.91,2306.18,-0.762624015
4735624.30,2056565.11,2276.63,-1.948279600
4735054.97,2056632.42,2323.80,-0.872509760
4734551.21,2056460.65,2294.37,-0.936491939
4736619.75,2055485.31,2361.09,1.523195589
4736702.85,2054975.82,2397.09,1.804478033
4736371.08,2055823.50,2339.73,-1.561721925
4736089.97,2056332.42,2324.45,-3.151231313
4737989.63,2049294.81,1786.38,0.633704486
4737779.96,2051289.24,2312.38,1.741861443
4737570.98,2051961.66,2494.08,0.788487613
4731859.78,2049294.49,1832.21,-0.129815729
4733663.92,2048772.27,1797.18,-1.834239875
4735465.02,2053225.94,2405.89,-1.961340073
4735636.84,2052739.40,2390.52,1.657259593
