OBJECTID,ID_EstGrav,Tipo_EstGrav,Fecha,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_Sobre_NivelMar,Altura_Elipsoidal,GravObs,GravTeor_Elip,GravTeor_Somig,Corr_AireLibre,Anom_AireLibre,CorrBouguer,AnomSimpleBouguer,AnomBouguerTotal,AnomRegional,AnomResidual,Estado,Equipo,AUTOR
0,BASE_TAP,0,27/05/2026-5/06/2026,4737595.343,2050663.772,9377,4.454720006,-75.36554035,1981.77,2012.696,977589.7842,978063.8259,978063.8259,621.1179856,147.0763115,221.8674705,-74.79115899,-60.74788597,-62.0711514,1.323265439,Buena ,Scintrex CG-6 Autograv (S/N 17060015),UIS
1,BASE_GAL,0,27/05/2026-5/06/2027,4734388.579,2053526.738,9377,4.480514558,-75.39451595,2327.72,2359.481,977520.356,978064.1869,978064.1869,728.1358366,184.3049198,260.0949578,-75.79003796,-61.66626744,-61.48432647,-0.181940963,Buena ,Scintrex CG-6 Autograv (S/N 17060015),UIS
2,BASE_TOC,0,27/05/2026-5/06/2028,4732011.756,2051264.38,9377,4.459987153,-75.41586344,2106.24,2138.029,977564.4216,978063.8994,978063.8994,659.7957494,160.3179198,235.6834246,-75.36550485,-55.31285875,-58.16598516,2.853126402,Buena ,Scintrex CG-6 Autograv (S/N 17060015),UIS
3,GRAV_01,1,27/05/2026,4736146.656,2054388.392,9377,4.488357853,-75.37870116,2487.89,2519.576,977483.8449,978064.2971,978064.2971,777.5411536,197.0889454,277.7428652,-80.65391983,-71.8459683,-64.25392453,-7.592043776,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
4,GRAV_02,1,29/05/2026,4735830.022,2054243.661,9377,4.487039806,-75.38154979,2487.4,2519.091,977481.6172,978064.2786,978064.2786,777.3914826,194.7301051,277.6894017,-82.95929659,-72.51639727,-64.11218652,-8.404210755,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
5,GRAV_03,1,29/05/2026,4735739.213,2053763.019,9377,4.482690931,-75.38235388,2398.39,2430.038,977501.1574,978064.2175,978064.2175,749.9097268,186.849653,267.872736,-81.02308296,-69.10305326,-64.65736533,-4.445687928,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
6,GRAV_04,1,24/05/2026,4734916.422,2054476.444,9377,4.489117808,-75.38978811,2645.75,2677.549,977442.882,978064.3078,978064.3078,826.2916214,204.8658263,295.1568561,-90.29102984,-73.90691024,-65.58950644,-8.317403798,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
7,GRAV_05,1,24/05/2026,4734431.567,2054767.571,9377,4.491735972,-75.3941652,2370.49,2402.36,977507.5919,978064.3446,978064.3446,741.368296,184.6155692,264.8216802,-80.20611093,-69.15595023,-64.522248,-4.633702234,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
8,GRAV_06,1,23/05/2026,4734374.087,2054433.556,9377,4.488713969,-75.39467324,2375.95,2407.801,977506.3103,978064.3021,978064.3021,743.0473886,185.0555727,265.4214632,-80.36589049,-67.00583397,-62.86272947,-4.143104496,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
9,GRAV_07,1,26/05/2026,4734164.654,2054298.889,9377,4.487490047,-75.39655623,2381.34,2413.195,977505.8711,978064.2849,978064.2849,744.711977,186.2981701,266.0160652,-79.71789515,-66.49122108,-64.62991302,-1.861308054,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
10,GRAV_08,1,24/05/2026,4734435.053,2053356.332,9377,4.47897505,-75.39409222,2314.71,2346.439,977523.1915,978064.1653,978064.1653,724.1110754,183.1372649,258.6572863,-75.52002142,-61.10063338,-61.56311164,0.462478264,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
11,GRAV_09,1,23/05/2026,4734953.268,2052748.035,9377,4.473489828,-75.38940536,2214.13,2245.71,977545.8789,978064.0884,978064.0884,693.026106,174.8166182,247.5535288,-72.73691052,-58.26763878,-61.87516124,3.60752246,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
