X,Y,Z,Anomalia_nT
4736146.51,2054389.14,2502,-402.1606
4735832.85,2054241.7,2512,-762.2803
4735740.99,2053762.42,2405,-567.4837
4734431.07,2054768.03,2379,82.2132
4734165,2054298.63,2395,-725.8723
4734436.38,2053359.81,2327,134.9461
4735017.95,2052588.75,2233,945.3289
4733758.11,2055303.47,2216,-104.0873
4733678.05,2055652.83,2191,-82.3995
4734280.07,2055819.45,2220,-399.5338
4734211.57,2056290.71,2168,66.539
4733707.94,2056293.34,2154,-14.9053
4736182.4,2056708.67,2297,43.4617
4737630.11,2053279.64,2452,-2.6046
4737522.47,2053509.4,2525,-60.3897
4737887.7,2053708.35,2564,-50.792
4736036.69,2051311.44,1968,158.3116
4737574.37,2051958.35,2474,6.5458
4738355.95,2052530.67,2559,-5.4392
4737780.12,2051291.11,2293,67.8504
4736950.88,2050203.95,1706,104.6812
4738258.57,2051231.29,2167,118.3455
4738489.01,2050397.63,1866,70.5616
4738065.1,2049789.82,1734,-124.769
4738906.05,2049679.29,1767,34.9239
4738932.97,2051469.73,2094,468.1295
4739015.64,2052183.6,2089,17.2736
4739319.34,2051232.26,2029,67.026
4739674.3,2050088.84,1767,56.7895
4739787.07,2050838.6,1987,30.2076
4740267.87,2051057.74,1983,0.1064
4740052.06,2051598.28,2269,50.9073
4740667.26,2051280.24,1946,27.8488
4741025.9,2052278.13,2306,73.2504
4741544.34,2052002.35,2161,83.6134
4741673.83,2051183.09,2226,21.6099
4741428.72,2050186.03,2383,18.5128
4741046.36,2050033.42,2264,18.3116
4733216.57,2057393.37,2101,34.8617
4733194.75,2057739.57,2112,-3.0899
4732674.66,2058109.86,1996,35.9913
4731953.18,2057166.47,2366,-9.66
4732114.35,2054728.26,2337,-28.7744
4732667.61,2053069.82,2264,41.3776
4731477.14,2051376.94,2466,-47.1887
4731622.68,2050830.9,2232,62.2389
4732709.76,2051020.19,2138,77.2245
4733787.74,2050518.42,2070,130.3819
4733693.46,2049836.85,1775,382.566
4734702.78,2049995.08,2088,124.2733
4732886.29,2049348.15,1801.5,30.5544
4733090.11,2056498.07,1943.8,-31.92
4733000.19,2056964.61,1985.3,2.2174
4732904.35,2057449.76,1990.2,-9.7204
4732885.71,2057951.8,2011.5,6.2631
4733023.46,2056314.26,1945.3,-12.3768
4732829.91,2056687.7,1946.7,18.5505
4732719.66,2057144.7,1987.1,9.1328
4732728.13,2057658.59,2009.1,-19.2295
4732612.78,2056338.84,2188.3,-20.4717
4732214.61,2056791.38,2010.2,-3.2189
4734303.09,2054574.01,2402.8,-345.9023
4734010.12,2055091.75,2282.1,-338.6336
4734154.05,2055593.91,2242.2,7.9567
4734419.75,2056065.15,2195,23.3171
4734001.42,2056329.29,2214.5,5.7373
4733509.37,2056552.09,2131.9,-29.2766
4733441.66,2057054.28,2116.4,62.1489
4732833.24,2058229.66,1998.3,28.8399
4731252.12,2050477.55,2102.6,54.5103
4732008.28,2051240.36,2144.4,48.9045
4732966,2051458.96,2237.1,48.519
4733852.78,2050998.22,2304.3,67.7532
4732530.08,2052293.58,2372.7,92.942
4732243.4,2053210.11,2421.8,-12.3809
4732064.31,2054370.91,2409,-46.1623
4732227.56,2055573.39,2328.7,-50.1442
4734316.71,2050171.82,2092.7,65.0124
4735398.61,2049562.4,2109.3,9.5761
4734696.68,2049324.47,1780.4,35.6868
4733185.51,2050224.05,1746.5,71.8122
4732321.95,2050289.69,1799.7,46.6578
4730348.48,2049936.85,2045.4,104.3194
4732000.23,2057776.24,2334.5,-20.0619
4731055.97,2057978.01,2624.9,33.5854
4731606.7,2058584.32,2197.1,19.5648
4731157.75,2057282.6,2638.9,68.1848
4731302.86,2055592.6,2880.2,-102.9666
4731311.54,2054629.09,2940.5,-44.029
4731369.77,2053544.76,2667.8,-4.4112
4731366.91,2052677.4,2992.9,-11.0617
4731103.53,2051636.82,2654.6,12.8706
4732058.08,2056311.15,2395.1,-11.3553
4731811.35,2052108.93,2660.5,23.783
4735498.24,2058312.33,2915.4,-4.6251
4734947.68,2057476.86,2734.3,51.3797
4737941.83,2058271.93,2362.3,35.9539
4737289.43,2057645.26,2326.7,36.7777
4737235.21,2057116.49,2360,11.6917
4736380.7,2058084.27,2584.7,10.2044
4735745.05,2057392.41,2514.1,10.254
4733492.72,2058665.86,2396.6,-78.1048
4734521.69,2057197.37,2538.8,-27.1318
4733937.98,2057352.46,2365.8,-29.7743
4736805.06,2054492.42,2442.4,-209.3296
4736882.14,2053997.51,2533,-384.2482
4734479.97,2051705.95,1646.3,135.9318
4733790.48,2052418.18,1729.6,19.907
4733463.47,2053393.11,1792.8,-27.3596
4733112.11,2054181.78,1906.8,-159.0509
4732827.54,2055196.17,1921.8,-124.1719
4734924.69,2054319.94,2719.6,-1064.3677
4735541.53,2054446.88,2733.6,-926.4861
4737301.22,2054233.37,2745.2,-185.8992
4737787.74,2054116.34,2753,-137.6913
4737374.08,2053701.09,2672.6,-129.7473
4737036.52,2053274.65,2584.7,38.4653
4736819.19,2052860.76,2424.6,111.676
4736894.85,2051368.02,2081.9,70.768
4737125.44,2050906.02,2046.2,39.7451
4737605.27,2050563.09,2009.2,42.5215
4738068.4,2050551.32,1914.3,34.0814
4735747.93,2053613.8,2413.6,285.9167
4735456.2,2053226.03,2432.5,1192.0613
4735637.54,2052741.61,2377.6,681.019
4734995.8,2056141.67,2313.2,-438.1637
4738683.43,2050630.53,1887.6,36.8235
4739130.51,2050352.08,1903.4,7.561
4735996.66,2054059.44,2537.1,-700.5827
4734292.77,2053487.5,2368,390.8652
4734346.29,2054070.24,2379.9,-764.5899
4734623.61,2054975.5,2406.9,575.0356
4735105.07,2055108.19,2452.6,1318.3058
4735474.94,2054822.32,2505.5,-79.5161
4736012.61,2054800.22,2523.4,-420.1683
4736734.57,2051812.77,2028,93.5537
4736503.11,2052248.13,2042.5,193.1222
4736007.12,2052049.57,2099.4,240.1075
4735375.75,2051897.9,2170.2,247.429
4735219.03,2052409.33,2225.2,473.2158
4735086.79,2052874.23,2234.4,1184.6785
4734477.8,2053117.08,2309.2,472.3968
4736172.55,2050587.61,1849.2,-399.1422
4735690.88,2050909.1,1942.5,-217.1517
4735346.78,2051315.19,1967.9,156.058
4736052.98,2051060.98,1937.8,143.3587
4735844.45,2051514.51,2014.2,134.8239
4736417.74,2057262.48,2287.9,15.6058
4735964.84,2057032.28,2297.1,42.1493
4735626.36,2056563.94,2265.9,143.7625
4735057.58,2056637.68,2358.7,161.207
4734544.75,2056478.68,2405.1,77.4558
4736621.93,2055483.55,2358.1,-186.4811
4736706.73,2054975.13,2391.8,-218.014
4736369,2055827.42,2326.3,-53.6384
4736092.97,2056336.04,2308.2,44.8944
4739393.97,2050657.45,1988.9,7.0132
4740605.14,2049409.85,2125.8,-13.734
4740899.31,2049772.97,2116,-16.9225
4740550.89,2050187.33,2073.9,-22.5003
4740664.95,2050633.29,2074.4,11.943
4741008.06,2050961.3,2010.5,8.0283
4740906.3,2051456.82,1948.6,-40.6314
4731857.95,2049295.99,1822.4,82.169
4733665.95,2048772.1,1790.5,106.8229
