OBJECTID,ID_EstMag,Tipo,Fecha,Estado,Equipo,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_SobreNivelMar,Altura_Elipsoidal,AnomMag,FieldCorr_nT,Std_dev_nT,AUTOR
0,MAG01,1,18/04/2026,Inactiva,GEM GSM-19,4736146.51,2054073.179,9377,4.4883647,-75.3787025,2513,2502,-402.160625,29570.43938,0.489921524,UIS
1,MAG02,1,18/04/2026,Inactiva,GEM GSM-19,4735832.856,2053925.744,9377,4.4870223,-75.3815242,2533,2512,-762.2802606,29209.41974,0.25742615,UIS
2,MAG03,1,18/04/2026,Inactiva,GEM GSM-19,4735740.996,2053446.464,9377,4.4826857,-75.3823378,2432,2405,-567.4837224,29403.81628,0.710460198,UIS
3,MAG04,1,16/04/2026,Inactiva,GEM GSM-19,4734431.069,2054452.059,9377,4.4917402,-75.3941697,2401,2379,82.21318966,30060.51319,0.59555537,UIS
4,MAG05,1,18/04/2026,Inactiva,GEM GSM-19,4734165.001,2053982.658,9377,4.4874878,-75.3965531,2409,2395,-725.8722581,29250.42774,1.947828706,UIS
5,MAG06,1,16/04/2026,Inactiva,GEM GSM-19,4734436.387,2053043.85,9377,4.4790067,-75.3940803,2346,2327,134.9461111,30108.14611,2.870650687,UIS
6,MAG07,1,19/04/2026,Inactiva,GEM GSM-19,4735017.952,2052272.788,9377,4.4720515,-75.3888179,2260,2233,945.3288636,30915.32886,1.968097495,UIS
7,MAG08,1,22/04/2026,Inactiva,GEM GSM-19,4733758.115,2054987.494,9377,4.4965619,-75.4002488,2226,2216,-104.0873394,29879.51266,0.314843352,UIS
8,MAG09,1,22/04/2026,Inactiva,GEM GSM-19,4733678.054,2055336.856,9377,4.4997186,-75.4009805,2208,2191,-82.39950311,29903.3005,2.708472454,UIS
9,MAG10,1,22/04/2026,Inactiva,GEM GSM-19,4734280.077,2055503.475,9377,4.5012431,-75.3955612,2229,2220,-399.5337954,29586.1662,0.543133804,UIS
10,MAG11,1,22/04/2026,Inactiva,GEM GSM-19,4734211.57,2055974.735,9377,4.5055024,-75.3961924,2175,2168,66.53896226,30055.03896,0.344292045,UIS
11,MAG12,1,22/04/2026,Inactiva,GEM GSM-19,4733707.942,2055977.362,9377,4.5055112,-75.4007302,2168,2154,-14.90526667,29974.29473,0.253448685,UIS
12,MAG13,1,23/04/2026,Inactiva,GEM GSM-19,4736182.402,2056392.707,9377,4.5093402,-75.3784472,2321,2297,43.46173203,30029.46173,0.199808899,UIS
13,MAG14,1,21/04/2026,Inactiva,GEM GSM-19,4737630.113,2052963.69,9377,4.4783754,-75.3653029,2465,2452,-2.604595469,29964.6954,0.431843213,UIS
14,MAG15,1,21/04/2026,Inactiva,GEM GSM-19,4737522.475,2053193.45,9377,4.4804499,-75.3662794,2541,2525,-60.38974763,29906.91025,0.228994477,UIS
15,MAG16,1,21/04/2026,Inactiva,GEM GSM-19,4737887.7,2053392.403,9377,4.4822596,-75.3629945,2577,2564,-50.79198547,29916.40801,0.455364546,UIS
16,MAG17,1,23/04/2026,Inactiva,GEM GSM-19,4736036.688,2050995.487,9377,4.4605313,-75.3796021,1981,1968,158.3115714,30124.91157,1.548611657,UIS
17,MAG18,1,24/04/2026,Inactiva,GEM GSM-19,4737574.369,2051642.408,9377,4.4664259,-75.3657668,2492,2474,6.545751634,29966.74575,0.210383446,UIS
18,MAG19,1,24/04/2026,Inactiva,GEM GSM-19,4738355.954,2052214.73,9377,4.4716239,-75.3587414,2565,2559,-5.439248366,29955.26075,0.422204661,UIS
19,MAG20,1,24/04/2026,Inactiva,GEM GSM-19,4737780.121,2050975.173,9377,4.4603983,-75.3638937,2315,2293,67.85038835,30027.55039,0.446456916,UIS
20,MAG21,1,2/05/2026,Inactiva,GEM GSM-19,4736950.882,2049888.005,9377,4.4505434,-75.3713334,1729,1706,104.6811765,30068.78118,0.487000421,UIS
21,MAG22,1,24/04/2026,Inactiva,GEM GSM-19,4738258.577,2050915.351,9377,4.4598712,-75.3595812,2215,2167,118.3454636,30079.24546,0.320649739,UIS
22,MAG23,1,25/04/2026,Inactiva,GEM GSM-19,4738489.012,2050081.699,9377,4.4523394,-75.357481,1875,1866,70.56163934,30032.46164,0.739388604,UIS
23,MAG24,1,27/04/2026,Inactiva,GEM GSM-19,4738065.1,2049473.885,9377,4.4468309,-75.3612828,1743,1734,-124.7689905,29836.63101,0.366184845,UIS
24,MAG25,1,27/04/2026,Inactiva,GEM GSM-19,4738906.048,2049363.362,9377,4.4458557,-75.353703,1769,1767,34.92392857,29994.52393,0.342214492,UIS
