OBJECTID,Estación,Tipo_Dato,Nombre_Arc,Latitud__W,Longitud__,Coordenada_X,Coordenada_Y,Altura__ms,Origen_Car,Receptor,Serie_Rece,Declinaci,Azimut_Ex,Ex__m_,Ey__m_,Ex,Ey,N,S,W,E,Tierra,Ex_1,Ey_1,Ex_12,Ey_12,Azimut_Hx,Hx,Hy,Hz,Ganancia_E,Ganancia_H,Filtro_Pas,Tiempo_Ini,Tiempo_Fin,Tiempo_I_1,Tiempo_F_1,Tiempo_reg,Tiempo_r_1,Banda_2,Banda_3,Banda_4,Ventana_de,Datos_Satu,Observacio,Control_de
1,MC01B,MT,2660622B,4.45385,-75.33755,4740701.677,2050557.655,2091,9377,V86W2,2660,-6.64,0,50,50,700,800,0,0,0,0,0,0.00447,-0.0188,0.12539424,0.105792154,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,22/06/2019,23/06/2019,23/06/2019,23/06/2019,13.73333333,3,4,2,16,60,7,,3
2,MC002B,MT,2661620B,4.46985,-75.38953,4734938.124,2052345.558,2124,9377,V86W2,2661,-6.6,0,50,50,1555,626,0,0,0,0,0,-0.058618755,0.039803194,0.008131612,0.006338639,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,20/06/2019,21/06/2019,20/06/2019,21/06/2019,18.58333333,18.58333333,4,2,16,60,8,,2
3,MC006B,MT,2661622B,4.44408,-75.35755,4738478.438,2049484.3,1821,9377,V86W2,2661,-6.6,0,34,36,315,947,0,0,0,0,0,-0.020279672,-0.009604485,0.112679286,0.056813223,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,22/06/2019,23/06/2019,23/06/2019,23/06/2019,16.23333333,2,4,2,16,60,7,,3
4,MC007B,MT,MC007B,4.45993,-75.3488,4739455.192,2051233.979,2072,9377,MTU5A,4299,-6.6,0,50,50,335,363,162.1067253,173.8616756,203.3698218,159.922503,193.1375869,0.02554498,-0.014810796,0.043270855,0.037331174,0,MT5H3552,MT5H3554,MT5H3553,1,1,1,25/06/2019,26/06/2019,25/06/2019,26/06/2019,20.28333333,13.13694444,2,2,16,60,7,,3
5,MC008B,MT,2661623B,4.44962,-75.3477,4739573.649,2050093.46,1783,9377,V86W2,2661,-6.6,5,40,45,1486,1008,0,0,0,0,0,-0.002869225,-0.006656403,0.028121266,0.0187332,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,23/06/2019,25/06/2019,24/06/2019,24/06/2019,40.66666667,2,4,2,16,60,7,,3
6,MC009B,MT,2660624B,4.45138,-75.32947,4741597.6,2050281.676,2382,9377,V86W2,2660,-6.64,0,50,50,980,800,0,0,0,0,0,-0.0117,-0.0201,0.0305,0.0115,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,24/06/2019,25/06/2019,25/06/2019,25/06/2019,17.95,3,4,2,16,60,7,,3
7,MC010B,MT,MC010B,4.46915,-75.35085,4739230.924,2052254.299,2099,9377,MTU5A,4299,-6.6,0,50,50,1005,763,332.1626529,673.5359839,427.4707334,336.3165709,286.5850423,0.016998347,0.023761353,0.001279527,0.000842309,0,MT5H3554,MT5H3552,MT5H3553,1,1,1,26/06/2019,27/06/2019,26/06/2019,27/06/2019,20.53333333,14.53333333,2,2,16,60,7,,3
8,MC011B,MT,2661625B,4.4543,-75.37715,4736306.625,2050621.47,1814,9377,V86W2,2661,-6.6,0,31,30,1483,2017,0,0,0,0,0,-0.011602779,-1.61E-05,0.00964625,0.007782305,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,25/06/2019,26/06/2019,26/06/2019,26/06/2019,17.9,3,4,2,16,60,8,,2
9,MC012B,MT,2660625B,4.45992,-75.32922,4741628.331,2051225.97,2215,9377,V86W2,2660,-6.64,0,48,50,1000,1000,0,0,0,0,0,-0.0462,-0.0601,0.00162,0.00174,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,25/06/2019,27/06/2019,26/06/2019,26/06/2019,39.75,3,4,2,16,60,7,,3
10,MC013C,MT,MC013C,4.45958,-75.35988,4738225.31,2051199.205,2185,9377,MTU5A,4299,-6.6,0,50,50,1341,525,231.7182824,1109.420887,292.6449792,232.5422498,211.1957431,0.006691743,-0.031439684,0.002095551,0.005276114,0,MT5H3552,MT5H3554,MT5H3553,1,1,1,27/06/2019,29/06/2019,27/06/2019,28/06/2019,42.28333333,12.28222222,2,2,16,60,9,,3
