Estación,Tipo de dato,Fecha Inicio/Fin,Duración,Satelites,Latitud,Longitud,Altura (m),Este (m),Norte (m),Declinación,Dist. E1 N,Dist. E2 E,Dist. E1 S,Dist. E2 W,Resist. E1 N/E,Resist. E2 N/E,Resist. E1 S/W,Resist. E2 S/W,DC E1 (V),DC E2 (V),Mag. DC (H1/H2/H3),Calidad,,,,,,,
MT01-UIS,MT,May15-May16,11h 9m 52s ,9-14 ,4.487°N ,75.379°W ,2522.7 m,4736113.00,2054238.338,-7.88°,50,50,50,50,5340.951,4953.418,4624.521,5375.832,-0.0041,-0.019,-0.039 / -0.045 / 0.081,2,,,,,,,
MT02-UIS,MT,May16-May17,11h 3s ,8-12 ,4.481°N ,75.382°W ,2414.18 m,4735777.88,2053575.896,-7.88°,28,28,28,28,5438.901,6552.723,5714.321,6774.965,-0.011,-0.019,0.081 / -0.046 / -0.037,3,,,,,,,
MT03-UIS,MT,May11-May12,12h 19m 4s,10-14,4.488°N,75.396°W,2418.57 m,4734226.57,2054355.08,-7.87°,30,30,30,30,5011.931,4904.740,4990.007,6260.128,-0.0016,0.0092, 0.081 / -0.046 / -0.038,1,,,,,,,
MT04-UIS,MT,May20-May20,10h 22m 40s,9-14,4.472°N,75.389°W,2270.01 m,4734997.72,2052583.131,-7.88°,21.20,25.44,21.20,25.44,5084.256,5995.473,6154.405,7951.864,0.033,0.028,-0.037 / -0.059 / 0.084,2,,,,,,,
MT05-UIS,MT,May18-May19,11h 21m 30s,8-13,4.468°N,75.391°W,2009.94 m,4734774.30,2052141.5,-7.88º,26,26,26,26,5471.598,3884.838,4778.156,6577.170,-0.0048,0.025,-0.047 / -0.037 / 0.081,3,,,,,,,
MT06-UIS,MT,May14-May15,14h 10m 47s,10-14,4.473°N,75.385°W,2413.14 m,4735442.04,2052692.276,-7.88º,50,50,50,50,4718.575,4436.659,4191.502,4035.377,-0.012,0.019,0.082 / -0.038 / -0.049,2,,,,,,,
MT07-UIS,MT,May13-May14,12h 29m 59s,10-17,4.469°N,75.385°W,2305.97 m,4735440.605,2052249.924,-7.88º,22.55,22.55,22.55,22.55,5417.172,4415.314,4696.246,5717.127,-0.0073,-0.024,-0.053 / 0.086 / -0.041,2,,,,,,,
MT08-UIS,MT,May22-May23,14h 51m 58s,8-12,4.518°N,75.409°W,1993.99 m,4732794.679,2057677.514,-7.87º,50,50,50,50,6667.983,3594.526,4305.167,4292.884,0.0064,0.0027,0.0027 / -0.047 / 0.081,3,,,,,,,
MT09-UIS,MT,May21-May22,14h 21m 9s,8-12,4.511°N,75.380°W,2285.3 m,4736010.667,2056892.799,-7.89º,50,50,50,50,4983.103,5241.129,4002.271,5779.491,-0.00019,-0.0036,0.081 / -0.037 / -0.048,3,,,,,,,
MT10-UIS,MT,May19-May20,10h 57m 13s,8-12,4.471°N,75.375°W,2143.05 m,4736551.217,2052467.504,-7.89º,25.16,25.16,25.16,25.16,5049.290,5585.137,6403.475,6166.425,-0.014,-0.0012,-0.0012 / 0.081 / -0.048,3,,,,,,,
