x,y,gz_mGal
-1.500000000000000000e+02,-1.500000000000000000e+02,-1.335182925686240196e-03
-1.396551724137931103e+02,-1.500000000000000000e+02,-1.456670695915818214e-03
-1.293103448275862206e+02,-1.500000000000000000e+02,-1.586925936862826347e-03
-1.189655172413793025e+02,-1.500000000000000000e+02,-1.725354115478694439e-03
-1.086206896551724128e+02,-1.500000000000000000e+02,-1.870878157205879688e-03
-9.827586206896552312e+01,-1.500000000000000000e+02,-2.021838678047060966e-03
-8.793103448275861922e+01,-1.500000000000000000e+02,-2.175907138735055923e-03
-7.758620689655171532e+01,-1.500000000000000000e+02,-2.330034738406538963e-03
-6.724137931034482563e+01,-1.500000000000000000e+02,-2.480453811585903168e-03
-5.689655172413793593e+01,-1.500000000000000000e+02,-2.622761065140366554e-03
-4.655172413793103203e+01,-1.500000000000000000e+02,-2.752100815996527672e-03
-3.620689655172412813e+01,-1.500000000000000000e+02,-2.863451372832059860e-03
-2.586206896551723844e+01,-1.500000000000000000e+02,-2.952010836452245712e-03
-1.551724137931034875e+01,-1.500000000000000000e+02,-3.013633191585540771e-03
-5.172413793103430635e+00,-1.500000000000000000e+02,-3.045257180929183960e-03
5.172413793103459057e+00,-1.500000000000000000e+02,-3.045257180929183960e-03
1.551724137931034875e+01,-1.500000000000000000e+02,-3.013633191585540771e-03
2.586206896551723844e+01,-1.500000000000000000e+02,-2.952010836452245712e-03
3.620689655172412813e+01,-1.500000000000000000e+02,-2.863451372832059860e-03
4.655172413793104624e+01,-1.500000000000000000e+02,-2.752100815996527672e-03
5.689655172413793593e+01,-1.500000000000000000e+02,-2.622761065140366554e-03
6.724137931034482563e+01,-1.500000000000000000e+02,-2.480453811585903168e-03
7.758620689655174374e+01,-1.500000000000000000e+02,-2.330034738406538963e-03
8.793103448275863343e+01,-1.500000000000000000e+02,-2.175907138735055923e-03
9.827586206896552312e+01,-1.500000000000000000e+02,-2.021838678047060966e-03
1.086206896551724412e+02,-1.500000000000000000e+02,-1.870878157205879688e-03
1.189655172413793025e+02,-1.500000000000000000e+02,-1.725354115478694439e-03
1.293103448275862206e+02,-1.500000000000000000e+02,-1.586925936862826347e-03
1.396551724137931387e+02,-1.500000000000000000e+02,-1.456670695915818214e-03
1.500000000000000000e+02,-1.500000000000000000e+02,-1.335183042101562023e-03
-1.500000000000000000e+02,-1.396551724137931103e+02,-1.456670695915818214e-03
-1.396551724137931103e+02,-1.396551724137931103e+02,-1.597744645550847054e-03
-1.293103448275862206e+02,-1.396551724137931103e+02,-1.750377588905394077e-03
-1.189655172413793025e+02,-1.396551724137931103e+02,-1.914139254949986935e-03
-1.086206896551724128e+02,-1.396551724137931103e+02,-2.087980974465608597e-03
-9.827586206896552312e+01,-1.396551724137931103e+02,-2.270143013447523117e-03
-8.793103448275861922e+01,-1.396551724137931103e+02,-2.457967959344387054e-03
-7.758620689655171532e+01,-1.396551724137931103e+02,-2.647777553647756577e-03
-6.724137931034482563e+01,-1.396551724137931103e+02,-2.834864892065525055e-03
-5.689655172413793593e+01,-1.396551724137931103e+02,-3.013578709214925766e-03
-4.655172413793103203e+01,-1.396551724137931103e+02,-3.177429083734750748e-03
-3.620689655172412813e+01,-1.396551724137931103e+02,-3.319607814773917198e-03
-2.586206896551723844e+01,-1.396551724137931103e+02,-3.433427773416042328e-03
-1.551724137931034875e+01,-1.396551724137931103e+02,-3.513007424771785736e-03
-5.172413793103430635e+00,-1.396551724137931103e+02,-3.553976071998476982e-03
5.172413793103459057e+00,-1.396551724137931103e+02,-3.553974907845258713e-03
1.551724137931034875e+01,-1.396551724137931103e+02,-3.513007191941142082e-03
2.586206896551723844e+01,-1.396551724137931103e+02,-3.433427773416042328e-03
3.620689655172412813e+01,-1.396551724137931103e+02,-3.319615265354514122e-03
4.655172413793104624e+01,-1.396551724137931103e+02,-3.177429083734750748e-03
5.689655172413793593e+01,-1.396551724137931103e+02,-3.013569163158535957e-03
6.724137931034482563e+01,-1.396551724137931103e+02,-2.834875369444489479e-03
7.758620689655174374e+01,-1.396551724137931103e+02,-2.647777553647756577e-03
8.793103448275863343e+01,-1.396551724137931103e+02,-2.457958878949284554e-03
9.827586206896552312e+01,-1.396551724137931103e+02,-2.270143013447523117e-03
1.086206896551724412e+02,-1.396551724137931103e+02,-2.087987726554274559e-03
1.189655172413793025e+02,-1.396551724137931103e+02,-1.914134481921792030e-03
1.293103448275862206e+02,-1.396551724137931103e+02,-1.750381314195692539e-03
1.396551724137931387e+02,-1.396551724137931103e+02,-1.597744645550847054e-03
1.500000000000000000e+02,-1.396551724137931103e+02,-1.456670695915818214e-03
-1.500000000000000000e+02,-1.293103448275862206e+02,-1.586925936862826347e-03
-1.396551724137931103e+02,-1.293103448275862206e+02,-1.750377472490072250e-03
