x,y,dpred_nT
-1.500000000000000000e+02,-1.500000000000000000e+02,-5.997986632006923058e-01
-1.396551724137931103e+02,-1.500000000000000000e+02,-6.215067398167064550e-01
-1.293103448275862206e+02,-1.500000000000000000e+02,-6.398393172411415142e-01
-1.189655172413793025e+02,-1.500000000000000000e+02,-6.539010599030471438e-01
-1.086206896551724128e+02,-1.500000000000000000e+02,-6.628600243567935868e-01
-9.827586206896552312e+01,-1.500000000000000000e+02,-6.660536866896704655e-01
-8.793103448275861922e+01,-1.500000000000000000e+02,-6.631156623232933311e-01
-7.758620689655171532e+01,-1.500000000000000000e+02,-6.541090291942269763e-01
-6.724137931034482563e+01,-1.500000000000000000e+02,-6.396425252822345309e-01
-5.689655172413793593e+01,-1.500000000000000000e+02,-6.209374877656378411e-01
-4.655172413793103203e+01,-1.500000000000000000e+02,-5.998103524120660390e-01
-3.620689655172412813e+01,-1.500000000000000000e+02,-5.785426568996195895e-01
-2.586206896551723844e+01,-1.500000000000000000e+02,-5.596310832633089039e-01
-1.551724137931034875e+01,-1.500000000000000000e+02,-5.454426741230165021e-01
-5.172413793103430635e+00,-1.500000000000000000e+02,-5.378363253730640281e-01
5.172413793103459057e+00,-1.500000000000000000e+02,-5.378363253730641391e-01
1.551724137931034875e+01,-1.500000000000000000e+02,-5.454426741230165021e-01
2.586206896551723844e+01,-1.500000000000000000e+02,-5.596310832633087928e-01
3.620689655172412813e+01,-1.500000000000000000e+02,-5.785426568996195895e-01
4.655172413793104624e+01,-1.500000000000000000e+02,-5.998103524120660390e-01
5.689655172413793593e+01,-1.500000000000000000e+02,-6.209374877656378411e-01
6.724137931034482563e+01,-1.500000000000000000e+02,-6.396425252822344198e-01
7.758620689655174374e+01,-1.500000000000000000e+02,-6.541090291942269763e-01
8.793103448275863343e+01,-1.500000000000000000e+02,-6.631156623232933311e-01
9.827586206896552312e+01,-1.500000000000000000e+02,-6.660536866896704655e-01
1.086206896551724412e+02,-1.500000000000000000e+02,-6.628600243567935868e-01
1.189655172413793025e+02,-1.500000000000000000e+02,-6.539010599030471438e-01
1.293103448275862206e+02,-1.500000000000000000e+02,-6.398393172411415142e-01
1.396551724137931387e+02,-1.500000000000000000e+02,-6.215067398167063439e-01
1.500000000000000000e+02,-1.500000000000000000e+02,-5.997986632006923058e-01
-1.500000000000000000e+02,-1.396551724137931103e+02,-6.215067398167065660e-01
-1.396551724137931103e+02,-1.396551724137931103e+02,-6.411377352587380729e-01
-1.293103448275862206e+02,-1.396551724137931103e+02,-6.558712163438106257e-01
-1.189655172413793025e+02,-1.396551724137931103e+02,-6.644057217536395443e-01
-1.086206896551724128e+02,-1.396551724137931103e+02,-6.655737490940347723e-01
-9.827586206896552312e+01,-1.396551724137931103e+02,-6.583575900183634699e-01
-8.793103448275861922e+01,-1.396551724137931103e+02,-6.421828386329505589e-01
-7.758620689655171532e+01,-1.396551724137931103e+02,-6.171989365577740250e-01
-6.724137931034482563e+01,-1.396551724137931103e+02,-5.843818748312159528e-01
-5.689655172413793593e+01,-1.396551724137931103e+02,-5.455510340309512873e-01
-4.655172413793103203e+01,-1.396551724137931103e+02,-5.038674135771087359e-01
-3.620689655172412813e+01,-1.396551724137931103e+02,-4.629852886791396283e-01
-2.586206896551723844e+01,-1.396551724137931103e+02,-4.271547622995516824e-01
-1.551724137931034875e+01,-1.396551724137931103e+02,-4.005702210715341716e-01
-5.172413793103430635e+00,-1.396551724137931103e+02,-3.863463224851200750e-01
5.172413793103459057e+00,-1.396551724137931103e+02,-3.863551382127334288e-01
1.551724137931034875e+01,-1.396551724137931103e+02,-4.005702210715341716e-01
2.586206896551723844e+01,-1.396551724137931103e+02,-4.271547622995516824e-01
3.620689655172412813e+01,-1.396551724137931103e+02,-4.629378296098768941e-01
4.655172413793104624e+01,-1.396551724137931103e+02,-5.038674135771089579e-01
5.689655172413793593e+01,-1.396551724137931103e+02,-5.456014173555121527e-01
6.724137931034482563e+01,-1.396551724137931103e+02,-5.843359660925623311e-01
7.758620689655174374e+01,-1.396551724137931103e+02,-6.171989365577740250e-01
8.793103448275863343e+01,-1.396551724137931103e+02,-6.422143519768533926e-01
9.827586206896552312e+01,-1.396551724137931103e+02,-6.583575900183634699e-01
1.086206896551724412e+02,-1.396551724137931103e+02,-6.655563305363507709e-01
1.189655172413793025e+02,-1.396551724137931103e+02,-6.644177722513004980e-01
1.293103448275862206e+02,-1.396551724137931103e+02,-6.558632416430431045e-01
1.396551724137931387e+02,-1.396551724137931103e+02,-6.411377352587380729e-01
1.500000000000000000e+02,-1.396551724137931103e+02,-6.215067398167064550e-01
-1.500000000000000000e+02,-1.293103448275862206e+02,-6.398393172411416252e-01
-1.396551724137931103e+02,-1.293103448275862206e+02,-6.558712163438108478e-01
-1.293103448275862206e+02,-1.293103448275862206e+02,-6.648182468842976922e-01
-1.189655172413793025e+02,-1.293103448275862206e+02,-6.648852938040760163e-01
-1.086206896551724128e+02,-1.293103448275862206e+02,-6.541402389342115820e-01
-9.827586206896552312e+01,-1.293103448275862206e+02,-6.311688351886218795e-01
-8.793103448275861922e+01,-1.293103448275862206e+02,-5.950925091693962665e-01
-7.758620689655171532e+01,-1.293103448275862206e+02,-5.457445341486231172e-01
-6.724137931034482563e+01,-1.293103448275862206e+02,-4.843918491765534795e-01
-5.689655172413793593e+01,-1.293103448275862206e+02,-4.144530915566775886e-01
-4.655172413793103203e+01,-1.293103448275862206e+02,-3.401870591974980873e-01
-3.620689655172412813e+01,-1.293103448275862206e+02,-2.678169338291135348e-01
-2.586206896551723844e+01,-1.293103448275862206e+02,-2.048064464369494242e-01
-1.551724137931034875e+01,-1.293103448275862206e+02,-1.579899024311362810e-01
-5.172413793103430635e+00,-1.293103448275862206e+02,-1.330437094939743992e-01
5.172413793103459057e+00,-1.293103448275862206e+02,-1.330437094939744824e-01
1.551724137931034875e+01,-1.293103448275862206e+02,-1.579899024311362810e-01
2.586206896551723844e+01,-1.293103448275862206e+02,-2.049330120568671199e-01
3.620689655172412813e+01,-1.293103448275862206e+02,-2.679722781818997812e-01
4.655172413793104624e+01,-1.293103448275862206e+02,-3.400194740079715561e-01
5.689655172413793593e+01,-1.293103448275862206e+02,-4.144530915566775331e-01
6.724137931034482563e+01,-1.293103448275862206e+02,-4.843918491765534795e-01
7.758620689655174374e+01,-1.293103448275862206e+02,-5.457445341486232282e-01
8.793103448275863343e+01,-1.293103448275862206e+02,-5.949905365627544684e-01
9.827586206896552312e+01,-1.293103448275862206e+02,-6.311688351886218795e-01
1.086206896551724412e+02,-1.293103448275862206e+02,-6.541402389342116930e-01
1.189655172413793025e+02,-1.293103448275862206e+02,-6.648852938040760163e-01
1.293103448275862206e+02,-1.293103448275862206e+02,-6.648182468842979143e-01
1.396551724137931387e+02,-1.293103448275862206e+02,-6.558712163438108478e-01
1.500000000000000000e+02,-1.293103448275862206e+02,-6.398393172411416252e-01
-1.500000000000000000e+02,-1.189655172413793025e+02,-6.539010599030473658e-01
-1.396551724137931103e+02,-1.189655172413793025e+02,-6.644057217536397664e-01
-1.293103448275862206e+02,-1.189655172413793025e+02,-6.648852938040761273e-01
