X,Y,Z,formation
4729374.328,2051291,932.770801,Capa_1
4729735.792,2051291,1153.42877,Capa_1
4729975.993,2051291,918.336217,Capa_1
4730406.943,2051291,980.581883,Capa_1
4730756.248,2051291,1228.657934,Capa_1
4730880.604,2051291,1638.013239,Capa_1
4730928.875,2051291,2251.687969,Capa_1
4731206.959,2051291,2604.89434,Capa_1
4731655.83,2051291,2545.998103,Capa_1
4731902.65,2051291,2175.77992,Capa_1
4732239.23,2051291,2079.71976,Capa_1
4732725.456,2051291,2022.883753,Capa_1
4733147.302,2051291,1973.573313,Capa_1
4733618.415,2051291,1940.917234,Capa_1
4733993.115,2051291,1980.566486,Capa_1
4734398.894,2051291,2023.504315,Capa_1
4737792.852,2051291,2496.619938,Capa_1
4738488.484,2051291,2437.06462,Capa_1
4739200.853,2051291,2376.076313,Capa_1
4739822.767,2051291,2322.832247,Capa_1
4740183.433,2051291,2291.954418,Capa_1
4740767.697,2051291,2241.933605,Capa_1
4741385.107,2051291,2179.237452,Capa_1
4741874.843,2051291,2125.055882,Capa_1
4742411.113,2051291,2034.556973,Capa_1
4742885.52,2051291,1884.744634,Capa_1
4743466.572,2051291,1745.780074,Capa_1
4729369.998,2054372,2631.068103,Capa_1
4730038.947,2054372,2585.947145,Capa_1
4730658.344,2054372,2376.195596,Capa_1
4731021.536,2054372,2000.307504,Capa_1
4731222.719,2054372,1572.792057,Capa_1
4731463.364,2054372,1062.269331,Capa_1
4731734,2054372,683.40077,Capa_1
4731977.733,2054372,346.9130227,Capa_1
4732313.544,2054372,222.257501,Capa_1
4732678.524,2054372,332.4368473,Capa_1
4733018.77,2054372,497.555379,Capa_1
4733194.551,2054372,809.172295,Capa_1
4733356.944,2054372,1106.194533,Capa_1
4733544.068,2054372,1549.382198,Capa_1
4733835.589,2054372,1867.713317,Capa_1
4734188.095,2054372,2047.716927,Capa_1
4734563.551,2054372,2136.421683,Capa_1
4737206.295,2054372,1474.779579,Capa_1
4737621.108,2054372,1614.032504,Capa_1
4738190.065,2054372,1620.298952,Capa_1
4738734.187,2054372,1426.899962,Capa_1
4739284.539,2054372,1211.786482,Capa_1
4739859.332,2054372,1054.517059,Capa_1
4740327.887,2054372,921.74087,Capa_1
4740711.333,2054372,829.428388,Capa_1
4741306.197,2054372,816.500483,Capa_1
4741781.159,2054372,910.07633,Capa_1
4742154.77,2054372,994.670197,Capa_1
4742644.005,2054372,1188.89855,Capa_1
4743075.026,2054372,1363.898961,Capa_1
4743461.535,2054372,1519.551783,Capa_1
4740700.829,2046602.036,463.102816,Capa_1
4740700.829,2048054.253,605.459911,Capa_1
4740700.829,2048504.655,901.709506,Capa_1
4740700.829,2048991.199,1182.246239,Capa_1
4740700.829,2049529.303,1373.582114,Capa_1
4740700.829,2049893.627,1451.174965,Capa_1
4740700.829,2049968.146,925.455803,Capa_1
