X,Y,Z,azimuth,dip,polarity,formation
4732097.23,2058407.684,2325.378913,180,5,1,R1_1
4732097.23,2057707.124,2271.794911,180,12,1,R1_1
4732097.23,2056926.15,2230.849257,180,29,1,R1_1
4732097.23,2056605.084,2364.530841,360,60,1,R1_1
4732097.23,2056983.643,2519.202463,180,6,-1,R1_1
4732097.23,2056227.457,2646.216504,180,10,1,R2_1
4732097.23,2055655.308,2594.495198,180,60,1,R2_1
4732097.23,2055576.274,2513.39192,360,20,-1,R2_1
4732097.23,2056216.303,2399.169542,360,22,-1,R2_1
4732097.23,2056432.606,2111.263605,180,15,1,R2_1
4732097.23,2055956.486,1918.775699,180,50,1,R2_1
4732097.23,2055219.462,1436.80084,360,12,1,R2_1
4732097.23,2054923.534,1751.357618,360,23,1,R2_1
4732097.23,2054938.358,2215.110521,360,32,1,R2_1
4732097.23,2054883.297,2581.457189,360,50,1,R2_1
4732097.23,2053805.902,2681.002313,180,20,1,R1
4732097.23,2053318.71,2588.103268,180,22,1,R1
4732097.23,2052907.309,2560.828862,360,12,-1,R1
4732097.23,2053123.518,2445.232501,180,43,1,R1
4732097.23,2053201.617,1959.501554,180,13,1,R1
4732097.23,2052714.944,1731.493939,360,23,1,R1
4732097.23,2051681.831,2028.365913,360,68,1,R1
4732097.23,2051412.2,1830.959392,360,45,-1,C1
4732097.23,2052121.131,419.5941797,360,45,-1,C1
4732097.23,2052845.039,-549.8954,360,41,-1,C1
4732097.23,2053876.149,-2037.094179,180,26,1,C1
4732097.23,2051077.562,-1983.008564,360,3,1,C1
4732097.23,2050150.493,-824.7532393,360,46,1,C1
4732097.23,2050171.896,511.277421,360,55,1,C1
4733520,2054722.056,1812.821509,360,35,-1,R1
4733520,2054537.413,605.0965003,180,24,1,R1
4733520,2052573.518,484.9020716,360,29,1,R1
4733520,2051470.801,1180.168906,360,9,1,R1
4733520,2050522.516,1638.014618,180,37,-1,R1
4733520,2051115.783,2071.867012,360,22,-1,R1
4733520,2052120.227,1873.429561,180,16,-1,R1
4733520,2050645.694,889.7269747,180,26,-1,C1
4733520,2049769.276,100.2739294,180,30,-1,C1
4733520,2049020.37,-620.1363163,180,69,-1,C1
4733520,2049301.375,-1596.219142,360,13,1,C1
4733520,2050553.896,-1957.797614,180,9,1,C1
4733520,2052383.841,-2123.360695,360,11,1,C1
4733520,2053768.905,-1602.224723,360,33,-1,C1
4733520,2052350.787,-626.6849572,360,42,-1,C1
4733520,2051741.684,358.3528292,360,55,-1,C1
4735148.64,2058715.415,3024.995362,360,45,1,R1_1
4735148.64,2059191.182,2681.814175,360,45,1,R1_1
4735148.64,2059809.596,2382.103423,360,45,1,R1_1
4735148.64,2054057.547,-833.2792192,180,23,-1,C4
4735148.64,2051991.191,-904.2866651,360,26,-1,C4
4735148.64,2050391.762,-493.5514542,360,6,-1,C4
4735148.64,2048964.723,-349.6625846,360,6,-1,C4
4735148.64,2048724.24,-813.4672059,360,89,1,C4
4735148.64,2048724.24,-1749.953904,360,1,1,C4
4735147.817,2049084.514,-2300,360,1,1,C4
4735144.354,2050601.359,-2300,360,1,1,C4
4735137.411,2053641.959,-2300,360,1,1,C4
4735133.125,2055519.034,-2300,360,1,1,C4
4735148.64,2056711.754,-2073.342524,180,18,1,C4
4735148.64,2057017.64,-1608.255827,360,19,-1,C4
4735148.64,2056071.646,-703.9793711,360,25,-1,C4
4735148.64,2051400.278,1320.844827,360,38,-1,R1
4735148.64,2050617.212,1724.458766,180,6,-1,R1
4735148.64,2049813.512,1462.860164,360,59,1,R1
4735148.64,2049767.6,719.954795,360,24,1,R1
4735148.64,2050769.737,354.9241775,360,9,1,R1
4735148.64,2051863.583,304.4179623,360,8,1,R1
4735148.64,2052319.203,868.9648291,360,33,-1,R1
4735148.64,2050189.079,1814.402821,180,23,1,C2
4735148.64,2049567.259,1520.446454,180,33,1,C2
4735148.64,2048891.675,1337.693957,180,19,1,C2
4736727.14,2058863.582,2726.114655,360,19,-1,R1_1
4736727.14,2059305.44,2672.692441,360,19,-1,R1_1
4736727.14,2059818.73,2506.56179,360,19,-1,R1_1
