X,Y,Z,formation
4732097.23,2058911.235,2353.133252,R1_1
4732097.23,2058307.777,2325.378913,R1_1
4732097.23,2057830.44,2291.221344,R1_1
4732097.23,2057363.14,2234.113563,R1_1
4732097.23,2056905.565,2232.375203,R1_1
4732097.23,2056668.33,2307.313837,R1_1
4732097.23,2056586.334,2418.278979,R1_1
4732097.23,2056765.025,2518.513353,R1_1
4732097.23,2057039.75,2517.695444,R1_1
4732097.23,2056234.459,2647.730508,R2_1
4732097.23,2055984.995,2599.139031,R2_1
4732097.23,2055695.84,2594.495198,R2_1
4732097.23,2055555.33,2519.169206,R2_1
4732097.23,2055925.327,2423.852962,R2_1
4732097.23,2056263.582,2396.175697,R2_1
4732097.23,2056504.137,2259.966343,R2_1
4732097.23,2056337.444,2066.241654,R2_1
4732097.23,2055987.444,1952.980633,R2_1
4732097.23,2055984.346,1674.398908,R2_1
4732097.23,2055972.409,1470.926043,R2_1
4732097.23,2055738.611,1373.259892,R2_1
4732097.23,2055380.681,1359.238407,R2_1
4732097.23,2055106.772,1498.592538,R2_1
4732097.23,2054954.568,1702.811455,R2_1
4732097.23,2054921.482,2029.076793,R2_1
4732097.23,2054947.491,2298.453749,R2_1
4732097.23,2054895.727,2551.735043,R2_1
4732097.23,2053818.795,2700.661003,R1
4732097.23,2053577.536,2621.135112,R1
4732097.23,2053269.477,2582.495211,R1
4732097.23,2052995.016,2566.075839,R1
4732097.23,2052986.223,2498.225507,R1
4732097.23,2053218.918,2420.456208,R1
4732097.23,2053360.979,2287.845667,R1
4732097.23,2053286.185,2047.817934,R1
4732097.23,2053098.673,1917.115242,R1
4732097.23,2052896.288,1820.520801,R1
4732097.23,2052654.614,1720.787013,R1
4732097.23,2052348.934,1697.15548,R1
4732097.23,2052109.125,1752.701183,R1
4732097.23,2051952.592,1827.562245,R1
4732097.23,2051716.598,1965.338025,R1
4732097.23,2051681.831,2207.133536,R1
4733520,2054535.901,1991.989482,R1
4733520,2054736.121,1804.448461,R1
4733520,2054839.674,1601.459002,R1
4733520,2054887.765,1263.382812,R1
4733520,2054821.048,907.0331721,R1
4733520,2054483.464,564.9205012,R1
4733520,2054112.214,354.5693079,R1
4733520,2053741.335,170.81103,R1
4733520,2053235.333,169.1230055,R1
4733520,2052839.302,262.9599465,R1
4733520,2052523.215,517.7801599,R1
4733520,2052269.916,776.548612,R1
4733520,2051969.559,945.3817628,R1
4733520,2051618.919,1132.697587,R1
4733520,2051069.683,1282.70582,R1
4733520,2050641.476,1463.184522,R1
4733520,2050539.127,1707.763345,R1
4733520,2050703.708,1971.851864,R1
4733520,2050965.856,2035.478219,R1
4733520,2051210.814,2072.806309,R1
4733520,2051569.946,2024.679249,R1
4733520,2051944.839,1898.924433,R1
4733520,2052187.384,1886.136762,R1
4733520,2052515.319,1968.404428,R1
4735148.64,2051040.43,1549.19372,R1
4735148.64,2051422.473,1308.094014,R1
4735148.64,2051833.581,1118.953219,R1
4735148.64,2052161.187,975.8455814,R1
4735148.64,2052407.141,724.7534483,R1
4735148.64,2052532.492,448.2335946,R1
4735148.64,2052403.086,334.7082392,R1
4735148.64,2052005.956,304.4179623,R1
4735148.64,2051606.517,304.4179623,R1
4735148.64,2051222.48,310.6905683,R1
4735148.64,2050889.679,319.8491759,R1
4735148.64,2050582.169,414.2139973,R1
4735148.64,2050193.517,500.938421,R1
4735148.64,2049843.604,655.0032823,R1
4735148.64,2049640.028,902.2791991,R1
4735148.64,2049600.775,1157.415749,R1
4735148.64,2049683.666,1361.885297,R1
4735148.64,2049884.729,1505.920595,R1
4735148.64,2050075.42,1661.478214,R1
4735148.64,2050398.125,1739.105396,R1
4736727.14,2051579.507,2040.384096,R1
4736727.14,2051644.373,1923.276563,R1
4736727.14,2051599.867,1811.504631,R1
4736727.14,2051516.667,1682.925826,R1
4736727.14,2051569.602,1549.806968,R1
4736727.14,2051744.146,1480.194622,R1
4736727.14,2051896.644,1414.827109,R1
4736727.14,2052027.311,1317.008123,R1
4736727.14,2052179.181,1173.532398,R1
4736727.14,2052296.087,972.8854593,R1
4736727.14,2052343.071,664.3560271,R1
4736727.14,2052258.83,477.9334407,R1
4736727.14,2052116.534,273.2726411,R1
4736727.14,2051872.078,273.2726411,R1
