X,Y,Z,azimuth,dip,polarity,formation
1070376.674,741726.0922,2437.673756,45,41,1,Capa7
1070835.92,742236.1535,1369.900166,45,41,1,Capa7
1071565.447,743046.4014,-146.1355142,45,41,1,Capa7
1072229.769,743784.2293,-1317.903495,45,41,1,Capa7
1072798.701,744416.1137,-2169.737958,45,41,1,Capa7
1073928.136,745670.5183,-3298.075728,45,24,1,Capa7
1074944.098,746798.8952,-2924.616854,225,49,1,Capa7
1075364.723,747266.0619,-1678.487671,225,49,1,Capa7
1075943.742,747909.1482,-337.4423168,225,49,1,Capa7
1076493.946,748520.2312,927.0878035,225,49,1,Capa7
1076976.897,749056.6203,2704.277041,225,64,1,Capa7
1077009.302,749092.6105,4111.246317,45,41,-1,Capa7
1076376.96,748390.3016,4571.839735,225,10,-1,Capa7
1075146.518,747023.7127,4508.366732,225,10,-1,Capa7
1073512.457,745208.8454,4278.849154,225,8,-1,Capa7
1072607.28,744203.5119,4114.581047,225,20,-1,Capa7
1071293.168,742743.9957,3651.675892,225,25,-1,Capa7
1063441.128,734023.1392,3093.747104,45,6,1,Capa2
1066225.344,737115.4243,3033.901068,45,3,1,Capa2
1069781.075,741064.5917,3526.07684,225,16,1,Capa2
1072812.016,744430.9011,4542.068445,225,18,1,Capa2
1075758.773,747703.7132,4763.064916,45,5,1,Capa2
1077824.369,749997.8634,3921.004253,45,7,1,Capa2
1080757.292,753255.311,3652.283653,45,5,1,Capa2
1065215.522,735993.8662,2324.271933,225,5,1,Capa4
1068840.375,740019.8043,2381.040337,225,19,1,Capa4
1071920.97,743441.2626,4009.469151,225,26,1,Capa4
1074191.531,745963.058,4412.838697,225,9,1,Capa4
1076928.258,749002.5997,4180.413221,45,19,1,Capa4
1080086.182,752509.9435,3215.25909,45,22,1,Capa4
1072719.267,744327.8904,3199.622223,45,62,1,Capa5
1073227.689,744892.5679,966.6564544,45,60,1,Capa5
1074214.63,745988.7126,-1033.661226,45,45,1,Capa5
1074464.966,746266.7484,-2772.593805,45,85,1,Capa5
1074849.227,746693.527,-2868.423384,225,76,1,Capa5
1074938.369,746792.5324,-2107.626498,225,70,1,Capa5
1075085.303,746955.7248,-911.8390312,225,69,1,Capa5
1075589.958,747516.2182,881.696583,225,68,1,Capa5
1075857.902,747813.8103,2226.931338,225,57,1,Capa5
1076511.426,748539.6452,3627.797389,225,62,1,Capa5
1076397.901,748413.5588,4429.362601,45,63,-1,Capa5
1075497.847,747413.9162,4533.938298,225,10,-1,Capa5
1073839.86,745572.4753,4370.79184,225,10,-1,Capa5
1072644.319,744244.6489,4117.194683,225,10,-1,Capa5
1072973.809,744610.5963,3358.725584,45,79,1,Capa6
1073606.818,745313.6472,1348.565072,45,75,1,Capa6
1074200.649,745973.1849,443.2630229,45,74,1,Capa6
1074537.113,746346.8781,-826.6712688,45,83,1,Capa6
1074678.59,746504.0097,-744.8707974,225,83,1,Capa6
1074756.839,746590.9162,167.3044697,225,78,1,Capa6
1074900.668,746750.6593,1436.858956,225,78,1,Capa6
1075026.393,746890.2965,2338.082561,225,69,1,Capa6
1075421.178,747328.763,3888.232492,225,39,1,Capa6
1075632.705,747563.6953,4547.452425,225,5,-1,Capa6
1074278.873,746060.0643,4410.235043,225,5,-1,Capa6
1073162.01,744819.6213,4218.517723,225,6,-1,Capa6
1074381.528,746174.0774,4178.527344,45,82,1,Capa8
1074451.113,746251.3627,3634.384777,45,75,1,Capa8
1074552.925,746364.4392,2961.225127,45,79,1,Capa8
1074705.929,746534.3737,3032.751065,225,75,1,Capa8
1074831.479,746673.8156,3615.310658,225,74,1,Capa8
1074835.137,746677.8779,4386.246152,45,59,-1,Capa8
1074585.885,746401.046,4520.302935,225,68,-1,Capa8
1068932.571,752934.4904,3042.807437,135,10,1,Capa2
1071483.265,750000.1878,3606.61658,315,16,1,Capa2
1073050.274,748197.5108,4177.941915,315,18,1,Capa2
1074355.796,746695.6464,4598.897885,315,14,1,Capa2
1075397.827,745496.9006,4488.351523,135,17,1,Capa2
1076605.462,744107.6448,4271.003449,135,14,1,Capa2
1078673.871,741728.1599,4095.790442,135,12,1,Capa2
1067774.245,754267.022,2558.53121,135,8,1,Capa4
1070897.232,750674.3571,2684.996033,315,20,1,Capa4
1073187.916,748039.1684,3929.888062,315,14,1,Capa4
1074224.469,746846.7242,4268.303841,315,10,1,Capa4
1074972.049,745986.713,4207.37369,135,46,1,Capa4
1075692.157,745158.3049,4007.725731,135,10,1,Capa4
1077042.046,743605.4009,3832.451734,135,10,1,Capa4
1078721.469,741673.4031,3706.479717,135,14,1,Capa4
1072882.395,748390.6381,3179.16656,135,80,1,Capa7
1073173.895,748055.2981,1160.97681,135,80,1,Capa7
1073548.978,747623.805,-1140.561858,135,79,1,Capa7
1073964.396,747145.9102,-2691.863604,135,72,1,Capa7
1075058.885,745886.817,-2643.572368,315,62,1,Capa7
1075643.066,745214.7789,-1190.623224,315,62,1,Capa7
1076303.52,744454.9965,549.9532844,315,60,1,Capa7
1076901.15,743767.4866,2390.547807,315,60,1,Capa7
1076812.068,743869.9665,3880.169968,135,15,-1,Capa7
1075465.436,745419.1231,4011.113526,135,17,-1,Capa7
1074782.571,746204.6878,4397.921103,135,37,-1,Capa7
1074261.662,746803.9377,4277.304688,315,16,-1,Capa7
1073285.746,747926.6258,3967.116255,315,16,-1,Capa7
1073859.766,747266.2767,3675.777499,135,46,1,Capa5
1074016.504,747085.9654,2014.144341,315,70,-1,Capa5
1073941.131,747172.6751,1108.452465,135,75,1,Capa5
1074320.528,746736.2184,-1266.704236,135,78,1,Capa5
1074848.035,746129.378,-2214.607063,315,79,1,Capa5
1075399.475,745495.0051,-1404.348916,315,70,1,Capa5
1075994.366,744810.6455,322.1951995,315,75,1,Capa5
1076532.962,744191.0479,2715.651954,315,70,1,Capa5
1076186.856,744589.2064,4013.019824,135,9,-1,Capa5
1074824.616,746156.3185,4356.955659,135,40,-1,Capa5
1074342.717,746710.6931,4271.990458,315,5,-1,Capa5
1074390.561,746655.6533,3786.93398,315,70,-1,Capa6
1074234.654,746835.0079,1971.917566,135,75,1,Capa6
1074327.565,746728.1229,-74.24819651,135,75,1,Capa6
1074885.301,746086.5076,-868.8726988,315,62,1,Capa6
1075277.054,745635.8376,984.878287,315,63,1,Capa6
1075502.776,745376.1675,2717.459335,135,69,-1,Capa6
1075323.113,745582.8508,3692.161511,315,45,1,Capa6
1074770.307,746218.796,4397.423428,135,42,-1,Capa6
1074480.384,746552.0982,3950.74835,135,85,1,Capa8
1074546.349,746478.651,3393.754799,135,81,1,Capa8
1074627.702,746377.3184,2547.994219,135,81,1,Capa8
1074794.21,746202.6735,2718.041819,315,72,1,Capa8
1074914.136,746069.1443,3230.078227,315,72,1,Capa8
1074937.225,746041.5721,4103.433278,135,55,-1,Capa8
1074718.771,746278.0823,4387.353088,135,45,-1,Capa8
