X,Y,Z,formation
4609667.742,1800295.196,3125.950076,Capa2
4610582.938,1801306.134,2987.461457,Capa2
4611686.164,1802524.744,3067.253391,Capa2
4612565.338,1803495.844,3055.227575,Capa2
4613469.589,1804494.623,3058.324963,Capa2
4614274.218,1805383.344,3191.478476,Capa2
4615344.598,1806565.564,3290.414607,Capa2
4616053.385,1807348.392,3444.398283,Capa2
4617042.131,1808440.401,3758.036649,Capa2
4617671.352,1809135.322,3976.933028,Capa2
4618285.575,1809813.669,4227.892347,Capa2
4619132.066,1810748.516,4486.461106,Capa2
4620050.723,1811763.038,4694.429574,Capa2
4620875.997,1812674.414,4816.055985,Capa2
4621484.622,1813346.526,4864.656971,Capa2
4622060.468,1813982.428,4797.308411,Capa2
4622662.385,1814647.113,4712.670007,Capa2
4623068.466,1815095.534,4601.819056,Capa2
4623578.833,1815659.108,4291.7467,Capa2
4624152.829,1816292.935,3987.810157,Capa2
4624682.272,1816877.557,3847.34487,Capa2
4625370.849,1817637.887,3739.62542,Capa2
4625968.749,1818298.08,3725.424345,Capa2
4626581.79,1818974.983,3696.148498,Capa2
4627279.961,1819745.87,3655.010325,Capa2
4628078.532,1820627.599,3496.123138,Capa2
4609766.386,1800404.16,2504.391328,Capa4
4610084.212,1800755.238,1997.390275,Capa4
4610579.097,1801301.892,2324.214215,Capa4
4611321.677,1802122.14,2201.321795,Capa4
4612187.941,1803078.989,2226.061777,Capa4
4612932.409,1803901.29,2021.532667,Capa4
4613589.856,1804627.459,2150.962539,Capa4
4614360.436,1805478.572,2247.077627,Capa4
4615145.41,1806345.566,2283.75947,Capa4
4615784.385,1807051.293,2504.634867,Capa4
4616196.372,1807506.313,2947.886971,Capa4
4616822.317,1808197.631,3145.584723,Capa4
4617143.78,1808552.664,3366.196895,Capa4
4617622.841,1809081.746,3586.479128,Capa4
4618173.811,1809690.239,3876.678858,Capa4
4618626.676,1810190.377,4162.144869,Capa4
4619184.745,1810806.693,4120.052498,Capa4
4619745.67,1811426.154,4229.267806,Capa4
4620323.17,1812063.912,4360.794116,Capa4
4620851.206,1812647.036,4407.629983,Capa4
4621086.712,1812907.11,4489.436388,Capa4
4621238.076,1813074.263,4631.65593,Capa4
4621523.795,1813389.784,4487.716247,Capa4
4621751.906,1813641.687,4519.148423,Capa4
4621995.219,1813910.375,4532.005295,Capa4
4622235.482,1814175.694,4555.168442,Capa4
4622507.331,1814475.891,4582.04124,Capa4
4622780.72,1814777.787,4586.752655,Capa4
4623021.975,1815044.196,4481.32229,Capa4
4623180.918,1815219.71,4316.828257,Capa4
4623421.664,1815485.554,4189.609579,Capa4
4623586.355,1815667.413,3933.850661,Capa4
4623815.942,1815920.933,3674.827075,Capa4
4624075.925,1816208.015,3563.05417,Capa4
4624373.469,1816536.572,3418.757315,Capa4
4624732.475,1816932.992,3331.636189,Capa4
4625019.998,1817250.478,3281.066252,Capa4
4625288.396,1817546.843,3255.414344,Capa4
4625607.807,1817899.534,3262.285465,Capa4
4625878.438,1818198.362,3328.945301,Capa4
4626093.547,1818435.88,3283.03006,Capa4
4626310.983,1818675.966,3163.673144,Capa4
4626634.553,1819033.242,3217.26212,Capa4
4627003.356,1819440.458,3275.07937,Capa4
4627320.288,1819790.397,3166.32611,Capa4
4627622.416,1820123.988,3069.668282,Capa4
4628036.851,1820581.576,2984.975437,Capa4
4616774.422,1808144.734,2763.571282,Capa7
4616983.468,1808375.612,2138.557507,Capa7
4617351.071,1808781.6,1317.056614,Capa7
4617787.711,1809263.83,466.578534,Capa7
4618155.048,1809669.516,-292.5229555,Capa7
4618698.363,1810269.546,-1256.109795,Capa7
4619110.356,1810724.54,-1876.509537,Capa7
4619678.598,1811352.083,-2705.959301,Capa7
4619929.173,1811628.805,-3081.422139,Capa7
4620653.378,1812428.571,-3380.356829,Capa7
4621363.073,1813212.299,-3295.621978,Capa7
4621498.89,1813362.282,-2783.65688,Capa7
4621701.708,1813586.253,-2145.329757,Capa7
4621937.827,1813846.998,-1554.638598,Capa7
4622202.553,1814139.331,-946.7122724,Capa7
4622527.185,1814497.815,-191.8135283,Capa7
4622752.602,1814746.736,311.9084267,Capa7
4622935.755,1814948.986,742.1433004,Capa7
4623148.032,1815183.395,1263.544251,Capa7
4623367.049,1815425.246,1934.188854,Capa7
4623483.735,1815554.095,2603.605159,Capa7
4623572.423,1815652.029,3254.674537,Capa7
4623585.066,1815665.991,3938.823324,Capa7
4623263.126,1815310.488,4255.996222,Capa7
4623066.359,1815093.206,4443.998439,Capa7
4622709.513,1814699.154,4583.438072,Capa7
4622143.222,1814073.813,4546.610025,Capa7
4621693.394,1813577.072,4512.587691,Capa7
4621238.295,1813074.505,4631.70274,Capa7
4620965.448,1812773.197,4419.734049,Capa7
4620660.991,1812436.978,4412.789635,Capa7
4620131.07,1811851.769,4309.896467,Capa7
4619791.02,1811476.237,4234.524794,Capa7
4619457.527,1811107.943,4167.323968,Capa7
4619143.609,1810761.264,4116.584447,Capa7
4618744.107,1810320.064,4153.415875,Capa7
4618472.776,1810020.412,4050.56691,Capa7
4618233.609,1809756.279,3905.060356,Capa7
4617823.402,1809303.247,3662.312357,Capa7
4617386.681,1808820.929,3536.062366,Capa7
4616732.8,1808098.767,3113.505183,Capa7
4619065.616,1810675.13,3818.516167,Capa5
4619211.955,1810836.742,3252.117297,Capa5
4619371.033,1811012.422,2673.21164,Capa5
4619496.505,1811150.989,1998.896231,Capa5
4619575.326,1811238.035,1472.845808,Capa5
4619737.646,1811417.294,966.0366419,Capa5
4619926.673,1811626.046,413.2354768,Capa5
4620214.949,1811944.4,-346.5247114,Capa5
4620663.667,1812439.934,-880.1801187,Capa5
4620949.307,1812755.372,-1558.955452,Capa5
4620994.095,1812804.833,-2292.010461,Capa5
4620975.457,1812784.249,-2909.732081,Capa5
4621040.625,1812855.788,-3208.210101,Capa5
4621188.301,1813018.85,-3391.037602,Capa5
4621317.467,1813161.935,-3226.297459,Capa5
4621361.77,1813210.859,-2905.702326,Capa5
4621397.43,1813250.239,-2611.363413,Capa5
4621426.783,1813282.654,-2355.176178,Capa5
4621463.762,1813323.489,-2062.920999,Capa5
4621553.978,1813423.115,-1320.451975,Capa5
4621560.867,1813430.723,-1280.558281,Capa5
4621648.681,1813527.696,-766.1936032,Capa5
4621807.012,1813702.54,-449.336606,Capa5
4621937.403,1813846.53,-56.88530154,Capa5
4622003.211,1813919.201,316.7286692,Capa5
4622090.999,1814016.144,774.6905128,Capa5
4622208.157,1814145.519,1384.800804,Capa5
4622273.842,1814218.055,1732.235959,Capa5
4622338.885,1814289.88,2049.924988,Capa5
4622494.742,1814461.989,2412.490603,Capa5
4622666.58,1814651.745,2742.210034,Capa5
4622908.849,1814919.274,3151.815722,Capa5
4623022.387,1815044.65,3567.131626,Capa5
4623046.757,1815071.562,3935.823586,Capa5
4622914.748,1814925.789,4465.498927,Capa5
4622789.621,1814787.616,4587.16172,Capa5
4622591.646,1814568.998,4582.682042,Capa5
4622322.581,1814271.876,4564.293465,Capa5
4622099.006,1814024.986,4542.228293,Capa5
4621886.311,1813790.109,4525.632096,Capa5
4621644.151,1813522.693,4505.290801,Capa5
4621474.552,1813335.405,4492.492034,Capa5
4621363.4,1813212.66,4602.36264,Capa5
4621187.308,1813018.199,4615.435618,Capa5
4621041.88,1812857.602,4437.20805,Capa5
4620769.042,1812556.302,4411.374365,Capa5
4620518.666,1812279.805,4407.228483,Capa5
4620251.126,1811984.352,4338.969362,Capa5
4620026.38,1811736.156,4279.773137,Capa5
4619811.19,1811498.512,4236.850932,Capa5
4619595.783,1811260.627,4202.900306,Capa5
4619428.153,1811075.504,4159.968678,Capa5
4619164.579,1810784.422,4118.257234,Capa5
