X,Y,Z,formation
4467064.568,1678642.603,2222.298,B1
4467153.001,1678642.485,2226.592,B1
4467244.815,1678642.362,2230.471,B1
4467343.393,1678642.23,2233.519,B1
4467452.115,1678642.084,2235.32,B1
4467574.363,1678641.921,2235.459,B1
4467713.518,1678641.735,2233.521,B1
4467871.895,1678641.523,2229.199,B1
4468046.661,1678641.289,2222.691,B1
4468233.424,1678641.039,2214.353,B1
4468427.791,1678640.778,2204.541,B1
4468625.367,1678640.514,2193.611,B1
4468821.761,1678640.251,2181.919,B1
4469012.933,1678639.995,2169.806,B1
4469196.934,1678639.749,2157.49,B1
4469372.571,1678639.514,2145.148,B1
4469538.657,1678639.292,2132.957,B1
4469694.001,1678639.084,2121.095,B1
4469837.414,1678638.892,2109.74,B1
4469967.991,1678638.717,2099.006,B1
4470086.861,1678638.558,2088.559,B1
4470196.043,1678638.412,2077.864,B1
4470297.56,1678638.276,2066.388,B1
4470393.437,1678638.148,2053.597,B1
4470485.695,1678638.024,2038.956,B1
4470576.163,1678637.903,2021.972,B1
4470665.008,1678637.784,2002.472,B1
4470751.524,1678637.668,1980.454,B1
4470834.997,1678637.557,1955.916,B1
4470914.714,1678637.45,1928.857,B1
4470989.962,1678637.349,1899.278,B1
4471060.153,1678637.255,1867.223,B1
4471126.123,1678637.167,1833.182,B1
4471189.587,1678637.082,1797.92,B1
4471252.267,1678636.998,1762.208,B1
4471315.89,1678636.913,1726.818,B1
4471382.181,1678636.824,1692.52,B1
4471452.758,1678636.73,1660.05,B1
4471527.772,1678636.629,1629.62,B1
4471606.295,1678636.524,1601.061,B1
4471687.376,1678636.416,1574.196,B1
4471770.063,1678636.305,1548.844,B1
4471853.402,1678636.193,1524.827,B1
4471936.466,1678636.082,1501.972,B1
4472018.72,1678635.972,1480.133,B1
4472099.975,1678635.863,1459.19,B1
4472180.052,1678635.756,1439.022,B1
4472258.775,1678635.651,1419.511,B1
4472335.962,1678635.548,1400.536,B1
4472411.421,1678635.447,1381.985,B1
4472484.652,1678635.349,1363.799,B1
4472554.838,1678635.255,1345.973,B1
4472621.146,1678635.166,1328.506,B1
4472682.741,1678635.083,1311.398,B1
4472738.79,1678635.008,1294.648,B1
4472788.484,1678634.942,1278.257,B1
4472831.868,1678634.884,1262.201,B1
4472870.013,1678634.833,1246.419,B1
4472904.05,1678634.787,1230.852,B1
4472935.109,1678634.746,1215.442,B1
4472964.318,1678634.707,1200.128,B1
4467770.673,1675750.239,2806.592,B1
4467910.72,1675815.322,2792.705,B1
4468048.405,1675879.307,2779.049,B1
4468181.369,1675941.097,2765.856,B1
4468307.248,1675999.594,2753.359,B1
4468423.68,1676053.702,2741.79,B1
4468528.762,1676102.535,2731.338,B1
4468624.295,1676146.931,2721.845,B1
4468713.855,1676188.551,2712.985,B1
4468801.025,1676229.06,2704.436,B1
4468889.39,1676270.124,2695.872,B1
4468982.395,1676313.344,2686.991,B1
4469080.9,1676359.121,2677.871,B1
4469183.507,1676406.803,2668.913,B1
4469288.739,1676455.705,2660.533,B1
4469395.119,1676505.141,2653.149,B1
4469501.181,1676554.429,2647.175,B1
4469606.201,1676603.232,2642.774,B1
4469710.629,1676651.761,2639.7,B1
4469815.011,1676700.268,2637.674,B1
4469919.894,1676749.007,2636.417,B1
4470025.826,1676798.234,2635.651,B1
4470132.959,1676848.02,2635.113,B1
4470240.289,1676897.896,2634.562,B1
4470346.59,1676947.295,2633.765,B1
4470450.641,1676995.648,2632.491,B1
4470551.221,1677042.387,2630.508,B1
4470647.461,1677087.11,2627.611,B1
4470740.593,1677130.388,2623.744,B1
4470832.597,1677173.143,2618.907,B1
4470925.459,1677216.295,2613.102,B1
4471021.156,1677260.765,2606.327,B1
4471121.479,1677307.386,2598.595,B1
4471225.852,1677355.888,2590.08,B1
4471332.11,1677405.265,2581.055,B1
4471438.062,1677454.5,2571.799,B1
4471541.512,1677502.573,2562.589,B1
4471640.298,1677548.479,2553.7,B1
4471733.378,1677591.732,2545.288,B1
4471821.049,1677632.472,2537.36,B1
4471903.696,1677670.877,2529.916,B1
4471981.695,1677707.123,2522.956,B1
4472055.424,1677741.385,2516.48,B1
4472124.971,1677773.702,2510.506,B1
4472189.793,1677803.825,2505.071,B1
4472249.256,1677831.457,2500.223,B1
4472302.727,1677856.304,2496.008,B1
4472349.573,1677878.073,2492.473,B1
